序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,2连板日期
25,002095,生 意 宝,10.02070426940918,26.57,2010339104,6687892586.55,6714770400.0,31.433137893676758,93997990,093133,134157,3,8/7,2,互联网服,20241128
26,002640,跨境通,10.129870414733887,4.24,2728540592,6050047363.12,6606095230.72,46.079063415527344,15981408,093139,143742,12,5/4,2,贸易行业,20241128
47,002526,山东矿机,10.1010103225708,3.27,771737840,5747071983.36,5829735856.8,13.920381546020508,126303131,094633,094633,0,2/2,2,专用设备,20241128
12,000716,黑芝麻,9.945504188537598,8.07,612516768,5654582309.52,6080660684.64,10.832219123840332,292408646,093000,093000,0,5/3,2,食品饮料,20241129
14,003042,中农联合,9.975520133972168,17.97,201588240,2288762437.6499996,2560365600.0,9.000553131103516,64821689,093018,093018,0,2/2,2,农药兽药,20241129
28,002482,广田集团,10.194174766540527,2.27,338361008,8496019348.27,8514684575.36,4.063872814178467,49936145,093306,093612,2,2/2,2,装修装饰,20241129
34,003040,楚天龙,10.033002853393555,16.67,719426480,7615693800.860001,7687136586.56,9.68601131439209,106260847,093530,093609,1,7/4,2,通信设备,20241129
57,600589,广东榕泰,10.060362815856934,5.47,758655248,8087230298.299999,8087230287.36,9.690156936645508,13956158,101257,141300,5,2/2,2,互联网服,20241129
82,834765,美之高,29.995161056518555,26.87,256236641,1182207316.65,1870502492.28,24.378068923950195,22412858,110245,110245,0,2/2,2,装修装饰,20241129
106,002347,泰尔股份,10.088496208190918,6.22,797477680,3068841644.22,3139248131.8399997,28.054807662963867,62658469,132151,132854,2,2/2,2,通用设备,20241129
126,000564,供销大集,9.90099048614502,3.33,5563555840,47409674924.61,60133350988.8,12.189003944396973,381600414,143218,143218,0,2/2,2,商业百货,20241129
10,002031,巨轮智能,10.04273509979248,5.15,177171696,10208577266.95,11326887669.6,1.735517978668213,489838279,092500,092500,0,2/2,2,专用设备,20241202
12,002520,日发精机,10.088496208190918,6.22,68683280,4011527863.62,4977524944.96,1.71214759349823,145836433,092500,092500,0,2/2,2,通用设备,20241202
13,002193,如意集团,10.085470199584961,6.44,19097904,1685438482.0,1685448142.0,1.133111834526062,145455688,092500,092500,0,2/2,2,纺织服装,20241202
17,603278,大业股份,10.0,8.69,20282721,2969889116.48,2969889116.48,0.6829453706741333,201600787,092501,092501,0,2/2,2,通用设备,20241202
21,600356,恒丰纸业,10.036275863647461,9.1,32179529,2718455539.7999997,2718455521.6,1.1837431192398071,214224810,092502,092502,0,2/2,2,造纸印刷,20241202
26,600382,广东明珠,10.021322250366211,5.16,314705440,3583145739.2400002,3583145775.36,8.85433292388916,27724829,093040,095507,9,2/2,2,钢铁行业,20241202
27,600979,广安爱众,9.957627296447754,5.19,941291312,6395428310.1,6547999788.4800005,14.868378639221191,29627903,093041,104256,6,8/5,2,电力行业,20241202
34,301000,肇民科技,19.981060028076172,25.34,414862640,5791493743.0,6136320463.0,7.290177822113037,203095057,093106,093106,0,2/2,2,塑料制品,20241202
43,002269,美邦服饰,9.90099048614502,2.22,532337056,5577750000.000001,5577750000.000001,9.725997924804688,61637860,093215,093357,2,2/2,2,纺织服装,20241202
87,000619,海螺新材,10.048623085021973,6.79,497025376,2444400000.0,2995536369.28,20.83841323852539,11519235,094445,143912,12,2/2,2,装修建材,20241202
91,601519,大智慧,10.0,10.23,1657025312,20499545088.0,20499545088.0,8.374639511108398,118384434,094753,094753,0,2/2,2,软件开发,20241202
100,603667,五洲新春,10.005467414855957,20.12,727911232,7367999732.400001,7370770779.52,10.032812118530273,53955804,095922,095922,0,2/2,2,通用设备,20241202
102,603583,捷昌驱动,10.004426956176758,24.85,761444240,9498836831.75,9528895516.0,8.202544212341309,80579355,100042,100042,0,2/2,2,专用设备,20241202
